id,player_id,match_id,agent_id,team_id,kills,deaths,assists,kda
2,79,21676,7,13508,26,25,6,1.28
3,297,18478,6,7729,9,7,19,4.0
5,750,12607,11,12586,6,3,18,8.0
6,86,14027,6,5839,15,16,2,1.0625
7,928,18756,7,4148,9,9,3,1.3333333333333333
8,635,18553,6,13988,11,2,12,11.5
10,435,7968,10,1274,25,11,15,3.6363636363636362
11,908,29524,1,10421,7,18,1,0.4444444444444444
12,897,22487,1,9649,21,5,20,8.2
15,682,22509,9,10280,16,16,17,2.0625
17,773,1756,2,1584,18,4,10,7.0
18,851,5580,9,3190,15,5,20,7.0
21,234,9517,1,2455,26,28,2,1.0
22,152,18401,17,9892,6,5,15,4.2
23,692,14107,17,10560,5,19,17,1.1578947368421053
24,765,7901,17,4725,10,17,16,1.5294117647058822
25,824,10016,11,9505,5,5,18,4.6
26,372,11531,4,1284,2,5,1,0.6
27,916,10889,17,10116,28,30,15,1.4333333333333333
30,860,3354,5,2389,14,1,5,19.0
31,223,19578,16,7965,15,11,18,3.0
32,420,75,11,14753,9,16,17,1.625
33,83,19864,12,13404,21,2,20,20.5
34,901,19285,20,6859,20,24,9,1.2083333333333333
36,205,29683,16,4728,25,14,3,2.0
37,5,6207,3,13599,29,7,1,4.285714285714286
39,459,19861,4,8510,9,8,2,1.375
41,663,28761,16,7961,19,13,8,2.076923076923077
43,885,5831,12,1144,6,11,0,0.5454545454545454
44,366,19655,10,4266,19,8,11,3.75
46,718,28191,2,6356,4,2,0,2.0
49,335,13596,10,12992,20,13,18,2.923076923076923
50,806,13178,18,12672,15,17,7,1.2941176470588236
54,92,13163,19,10982,18,10,17,3.5
55,100,487,19,13191,21,2,9,15.0
57,450,10690,7,8682,13,6,6,3.1666666666666665
58,768,10837,5,938,18,6,3,3.5
59,320,4543,14,12141,23,28,7,1.0714285714285714
60,245,217,4,10824,22,25,2,0.96
62,974,15834,18,14901,8,16,16,1.5
65,729,5446,18,9904,25,3,6,10.333333333333334
71,578,6677,6,11181,15,13,2,1.3076923076923077
75,163,2879,20,10019,22,12,15,3.0833333333333335
76,583,7550,19,12131,12,18,9,1.1666666666666667
77,363,5953,18,9526,15,13,2,1.3076923076923077
78,885,4815,10,3391,20,18,17,2.0555555555555554
79,294,137,11,79,7,6,1,1.3333333333333333
81,160,12404,1,14916,30,18,14,2.4444444444444446
82,470,15732,3,1131,1,16,3,0.25
84,263,6738,8,1354,24,13,8,2.4615384615384617
85,19,24597,14,2750,24,8,6,3.75
89,426,26969,19,14962,24,5,20,8.8
91,828,21304,7,9173,10,10,2,1.2
92,339,13256,4,4069,25,18,5,1.6666666666666667
93,22,13088,2,10561,7,30,18,0.8333333333333334
